id,title,author,genre,cover,amazonUrl,review
1,情景ポートレートの撮り方,高橋 伸哉,クリエイティブ,cover/1.jpg,https://www.amazon.co.jp/dp/4768316220,スポーツは状況把握と対策と意思決定の無限高速ループを回す競技。この本を読んで、写真撮影においても通ずる部分があるんだと肝に銘じて、今日もカメコに勤しむ。
2,生物と無生物のあいだ,福岡 伸一,科学・テクノロジー,cover/2.jpg,https://www.amazon.co.jp/dp/4061498916,降り注ぐエントロピーの矢を絶えず汲みだすために、先回りの破壊から創造のサイクルを繰り返す。組織も生き物に近似できるなら、この自然界の最適解は忘れてはいけない。
3,パラダイムの魔力,ジョエル バーカー,ビジネス,cover/3.jpg,https://www.amazon.co.jp/dp/4822250148,新入の思考を染め上げることが本当に教育なのか。無知には悪の側面しかないのか。答えはNO。偶発的な出会いをデザインして、拡散と収斂を繰り返し続けるのが思考の若さを保つ秘訣。
4,ブループリント:「よい未来」を築くための進化論と人類史,ニコラス・クリスタキス,人文・歴史,cover/4.jpg,https://www.amazon.co.jp/dp/4910063102,
5,サピエンス全史 文明の構造と人類の幸福,ユヴァル・ノア・ハラリ,人文・歴史,cover/5.jpg,https://www.amazon.co.jp/dp/430922671X,
6,シン・ニホン AI×データ時代における日本の再生と人材育成,安宅 和人,経済・社会,cover/6.jpg,https://www.amazon.co.jp/dp/4910063048,
7,スモール イズ ビューティフル,F・アーンスト・シューマッハー,哲学・心理,cover/7.jpg,https://www.amazon.co.jp/dp/4061587307,
8,民藝とは何か,柳 宗悦,クリエイティブ,cover/8.jpg,https://www.amazon.co.jp/dp/4061597795,
9,コンヴィヴィアリティのための道具,イヴァン イリイチ,哲学・心理,cover/9.jpg,https://www.amazon.co.jp/dp/4480096884,
10,ビジネスと人生の「見え方」が一変する 生命科学的思考,高橋 祥子,科学・テクノロジー,cover/10.jpg,https://www.amazon.co.jp/dp/4910063145,
11,IGPI流 経営分析のリアル・ノウハウ,冨山 和彦,ビジネス,cover/11.jpg,https://www.amazon.co.jp/dp/4569800785,
12,逆・タイムマシン経営論 近過去の歴史に学ぶ経営知,楠木 建 / 杉浦 泰,ビジネス,cover/12.jpg,https://www.amazon.co.jp/dp/429610733X,
13,佐藤可士和 デザインぺディア,マガジンハウス,クリエイティブ,cover/13.jpg,https://www.amazon.co.jp/dp/4838785348,
14,行動を変えるデザイン ―心理学と行動経済学をプロダクトデザインに活用する,ステファン・ウェンデル,哲学・心理,cover/14.jpg,https://www.amazon.co.jp/dp/4873119146,
15,マネジメント［エッセンシャル版］,P・F・ドラッカー,ビジネス,cover/15.jpg,https://www.amazon.co.jp/dp/4478410232,
16,デンマーク幸福研究所が教える「幸せ」の定義,マイク・ヴァイキング,哲学・心理,cover/16.jpg,https://www.amazon.co.jp/dp/4794970641,
17,予想どおりに不合理: 行動経済学が明かす「あなたがそれを選ぶわけ」,ダン アリエリー,哲学・心理,cover/17.jpg,https://www.amazon.co.jp/dp/4150503915,
18,アダム・スミス: 『道徳感情論』と『国富論』の世界,堂目 卓生,経済・社会,cover/18.jpg,https://www.amazon.co.jp/dp/4121019369,
19,ズームバック×オチアイ 過去を「巨視」して未来を考える,落合 陽一,人文・歴史,cover/19.jpg,https://www.amazon.co.jp/dp/4140818859,
20,「ついやってしまう」体験のつくりかた 人を動かす「直感・驚き・物語」のしくみ,玉樹 真一郎,クリエイティブ,cover/20.jpg,https://www.amazon.co.jp/dp/4478106169,
21,ヒトの目、驚異の進化,マーク・チャンギージー,科学・テクノロジー,cover/21.jpg,https://www.amazon.co.jp/dp/4150505551,
22,進化思考――生き残るコンセプトをつくる「変異と適応」,太刀川 英輔,科学・テクノロジー,cover/22.jpg,https://www.amazon.co.jp/dp/4909934006,
23,現代経済学の直観的方法,長沼 伸一郎,経済・社会,cover/23.jpg,https://www.amazon.co.jp/dp/4065195039,
24,睡眠こそ最強の解決策である,マシュー・ウォーカー,科学・テクノロジー,cover/24.jpg,https://www.amazon.co.jp/dp/4797395842,
25,NO RULES 世界一「自由」な会社、NETFLIX,リード・ヘイスティングス / エリン・メイヤー,ビジネス,cover/25.jpg,https://www.amazon.co.jp/dp/4532323673,
26,慢性病を根本から治す 「機能性医学」の考え方,斎藤 糧三,科学・テクノロジー,cover/26.jpg,https://www.amazon.co.jp/dp/4334038867,
27,夜と霧,ヴィクトール・E・フランクル,小説・文学,cover/27.jpg,https://www.amazon.co.jp/dp/4622039702,
28,禅と日本文化,鈴木 大拙,人文・歴史,cover/28.jpg,https://www.amazon.co.jp/dp/4004000203,
29,テクニウム――テクノロジーはどこへ向かうのか?,ケヴィン・ケリー,科学・テクノロジー,cover/29.jpg,https://www.amazon.co.jp/dp/4622077531,
30,ユニクロ,杉本 貴司,ビジネス,cover/30.jpg,https://www.amazon.co.jp/dp/4296001868,
31,歴史のミカタ,井上 章一 / 磯田 道史,人文・歴史,cover/31.jpg,https://www.amazon.co.jp/dp/4396116306,
32,現代語訳　学問のすすめ,福沢 諭吉,哲学・心理,cover/32.jpg,https://www.amazon.co.jp/dp/4480064702,
33,人口論,マルサス,経済・社会,cover/33.jpg,https://www.amazon.co.jp/dp/4334752314,
34,「おいしさ」の錯覚 最新科学でわかった、美味の真実,チャールズ・スペンス,科学・テクノロジー,cover/34.jpg,https://www.amazon.co.jp/dp/4041054702,
35,世界で最初に飢えるのは日本 食の安全保障をどう守るか,鈴木 宣弘,経済・社会,cover/35.jpg,https://www.amazon.co.jp/dp/4065301734,
36,Hot Pepperミラクル・ストーリー―事業マネジメントを学ぶための物語,平尾 勇司,ビジネス,cover/36.jpg,https://www.amazon.co.jp/dp/4492501835,
37,良い戦略、悪い戦略,リチャード P.ルメルト,ビジネス,cover/37.jpg,https://www.amazon.co.jp/dp/4532318092,
38,確率思考の戦略論　どうすれば売上は増えるのか,森岡 毅 / 今西 聖貴,ビジネス,cover/38.jpg,https://www.amazon.co.jp/dp/4478115281,
39,ここで唐揚げ弁当を食べないでください,小原 晩,小説・文学,cover/39.jpg,https://www.amazon.co.jp/dp/4408538698,
40,これが生活なのかしらん,小原 晩,小説・文学,cover/40.jpg,https://www.amazon.co.jp/dp/4479394125,
41,ニッポンの風景をつくりなおせ―一次産業×デザイン=風景,梅原 真,クリエイティブ,cover/41.jpg,https://www.amazon.co.jp/dp/4904702123,
42,多様性の科学,マシュー・サイド,哲学・心理,cover/42.jpg,https://www.amazon.co.jp/dp/4799327526,
43,小澤隆生 凡人の事業論 天才じゃない僕らが成功するためにやるべき驚くほどシンプルなこと,蛯谷 敏,ビジネス,cover/43.jpg,https://www.amazon.co.jp/dp/4478121842,
44,良い売上、悪い売上 「利益」を最大化し持続させるマーケティングの根幹,西口 一希,ビジネス,cover/44.jpg,https://www.amazon.co.jp/dp/4798189782,
45,世界経済の死角,河野 龍太郎 / 唐鎌 大輔,経済・社会,cover/45.jpg,https://www.amazon.co.jp/dp/4344987802,
